🕘️更新时间,#genre#
2026-01-01 18:41:16,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源

📺央视频道,#genre#
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源
CCTV-1,http://play-hsbj.vzan.com/978354/446938712125478466/live.m3u8$订阅源
CCTV-1,http://play-hsbj.vzan.com/978354/446938712125478466/live.m3u8$订阅源
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub$订阅源
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub$订阅源
CCTV-2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub$订阅源
CCTV-2,http://39.152.103.17:8089/tsfile/live/1001_1.m3u8$订阅源
CCTV-2,http://39.152.103.17:8089/tsfile/live/1001_1.m3u8$订阅源
CCTV-2,http://111.221.137.234:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-2,http://111.221.137.234:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8$订阅源
CCTV-3,http://111.221.137.234:44330/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub$订阅源
CCTV-4,http://39.152.103.17:8089/tsfile/live/1003_1.m3u8$订阅源
CCTV-4,http://111.221.137.234:44330/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-5,http://27.41.245.32:801/hls/5/index.m3u8$订阅源
CCTV-5,http://27.41.245.32:801/hls/5/index.m3u8$订阅源
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub$订阅源
CCTV-5,http://39.152.103.17:8089/tsfile/live/1004_1.m3u8$订阅源
CCTV-5,http://111.221.137.234:44330/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-5,http://111.221.137.234:44330/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-6,http://27.41.245.32:801/hls/6/index.m3u8$订阅源
CCTV-6,http://39.152.103.17:8089/tsfile/live/1005_1.m3u8$订阅源
CCTV-6,http://111.221.137.234:44330/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8$订阅源
CCTV-7,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8$订阅源
CCTV-7,http://27.41.245.32:801/hls/7/index.m3u8$订阅源
CCTV-7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub$订阅源
CCTV-7,http://39.152.103.17:8089/tsfile/live/1006_1.m3u8$订阅源
